-200.0;1200.0;200.0;300.0;1200.0;200.0
-200.0;1200.0;200.0;-200.0;1200.0;1600.0
300.0;1200.0;200.0;300.0;1200.0;1600.0
300.0;1200.0;200.0;300.0;1500.0;200.0
-200.0;1200.0;200.0;-200.0;1500.0;200.0
-200.0;1500.0;200.0;-200.0;1500.0;1600.0
-200.0;1200.0;1600.0;-200.0;1500.0;1600.0
-200.0;1200.0;1600.0;300.0;1200.0;1600.0
-200.0;1500.0;1600.0;300.0;1500.0;1600.0
300.0;1500.0;1600.0;300.0;1200.0;1600.0
300.0;1500.0;1600.0;300.0;1500.0;200.0
300.0;1500.0;200.0;-200.0;1500.0;200.0

450.0;1450.0;200.0;950.0;1450.0;200.0
450.0;1450.0;200.0;450.0;1450.0;1200.0
950.0;1450.0;200.0;950.0;1450.0;1200.0
950.0;1450.0;200.0;950.0;1700.0;200.0
450.0;1450.0;200.0;450.0;1700.0;200.0
450.0;1700.0;200.0;450.0;1700.0;1200.0
450.0;1450.0;1200.0;450.0;1700.0;1200.0
450.0;1450.0;1200.0;950.0;1450.0;1200.0
450.0;1700.0;1200.0;950.0;1700.0;1200.0
950.0;1700.0;1200.0;950.0;1450.0;1200.0
950.0;1700.0;1200.0;950.0;1700.0;200.0
950.0;1700.0;200.0;450.0;1700.0;200.0

-700.0;1800.0;200.0;-400.0;1800.0;200.0
-700.0;1800.0;200.0;-700.0;1800.0;800.0
-400.0;1800.0;200.0;-400.0;1800.0;800.0
-400.0;1800.0;200.0;-400.0;1500.0;200.0
-700.0;1800.0;200.0;-700.0;1500.0;200.0
-700.0;1500.0;200.0;-700.0;1500.0;800.0
-700.0;1800.0;800.0;-700.0;1500.0;800.0
-700.0;1800.0;800.0;-400.0;1800.0;800.0
-700.0;1500.0;800.0;-400.0;1500.0;800.0
-400.0;1500.0;800.0;-400.0;1800.0;800.0
-400.0;1500.0;800.0;-400.0;1500.0;200.0
-400.0;1500.0;200.0;-700.0;1500.0;200.0

-1200.0;2000.0;-1000.0;700.0;2000.0;-1000.0
-1200.0;2000.0;-1000.0;-1200.0;2000.0;-200.0
700.0;2000.0;-1000.0;700.0;2000.0;-200.0
700.0;2000.0;-1000.0;700.0;1500.0;-1000.0
-1200.0;2000.0;-1000.0;-1200.0;1500.0;-1000.0
-1200.0;1500.0;-1000.0;-1200.0;1500.0;-200.0
-1200.0;2000.0;-200.0;-1200.0;1500.0;-200.0
-1200.0;2000.0;-200.0;700.0;2000.0;-200.0
-1200.0;1500.0;-200.0;700.0;1500.0;-200.0
700.0;1500.0;-200.0;700.0;2000.0;-200.0
700.0;1500.0;-200.0;700.0;1500.0;-1000.0
700.0;1500.0;-1000.0;-1200.0;1500.0;-1000.0
